mech,strategy,type,count
callback,"noUsageOfErrorArg,consoleLog,returnLiteral",client,2
callback,"noUsageOfErrorArg,consoleLog,throwErrorObject",server,1
callback,"noUsageOfErrorArg,continue",client,10
callback,"noUsageOfErrorArg,continue",server,1
callback,"noUsageOfErrorArg,reassigningError",client,8
callback,"noUsageOfErrorArg,reassigningError",server,8
callback,"noUsageOfErrorArg,reassigningError,returnLiteral",client,3
callback,"noUsageOfErrorArg,reassigningError,throwErrorObject,returnLiteral",client,1
callback,"noUsageOfErrorArg,returnLiteral",client,119
callback,"noUsageOfErrorArg,returnLiteral",server,30
callback,"noUsageOfErrorArg,returnLiteral,break",client,12
callback,"noUsageOfErrorArg,returnLiteral,break",server,1
callback,"noUsageOfErrorArg,returnLiteral,continue",client,1
callback,"noUsageOfErrorArg,returnLiteral,continue,break",client,1
callback,"noUsageOfErrorArg,returnLiteral,returnNull",client,1
callback,"noUsageOfErrorArg,returnLiteral,returnNull,break",client,3
callback,"noUsageOfErrorArg,returnLiteral,returnNull,continue,break",client,1
callback,"noUsageOfErrorArg,returnNull",client,6
callback,"noUsageOfErrorArg,returnNull",server,1
callback,"noUsageOfErrorArg,returnNull,break",client,1
callback,"noUsageOfErrorArg,returnNull,continue",client,1
callback,"noUsageOfErrorArg,throwErrorObject",client,27
callback,"noUsageOfErrorArg,throwErrorObject",server,16
callback,"noUsageOfErrorArg,throwErrorObject,break",client,2
callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,break",client,2
callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,returnUndefined,returnNull,break",client,1
callback,"noUsageOfErrorArg,throwLiteral",server,1
callback,others,client,22190
callback,others,server,24470
callback,reassigningError,client,2175
callback,reassigningError,server,1241
callback,"reassigningError,alert",client,2
callback,"reassigningError,break",client,707
callback,"reassigningError,break",server,640
callback,"reassigningError,continue",client,19
callback,"reassigningError,continue",server,3
callback,"reassigningError,continue,break",client,43
callback,"reassigningError,continue,break",server,28
callback,"reassigningError,rethrow",client,5
callback,"reassigningError,rethrow",server,16
callback,"reassigningError,returnLiteral",client,135
callback,"reassigningError,returnLiteral",server,48
callback,"reassigningError,returnLiteral,break",client,159
callback,"reassigningError,returnLiteral,break",server,15
callback,"reassigningError,returnLiteral,continue",client,1
callback,"reassigningError,returnLiteral,continue,break",client,11
callback,"reassigningError,returnLiteral,continue,break",server,4
callback,"reassigningError,returnLiteral,returnNull",server,1
callback,"reassigningError,returnLiteral,returnNull,break",client,2
callback,"reassigningError,returnLiteral,returnNull,continue,break",client,4
callback,"reassigningError,returnLiteral,returnUndefined",client,1
callback,"reassigningError,returnLiteral,returnUndefined,break",client,3
callback,"reassigningError,returnLiteral,returnUndefined,returnNull,break",client,1
callback,"reassigningError,returnNull",client,14
callback,"reassigningError,returnNull",server,5
callback,"reassigningError,returnNull,break",client,1
callback,"reassigningError,returnNull,continue,break",client,1
callback,"reassigningError,returnUndefined",client,1
callback,"reassigningError,throwErrorObject",client,53
callback,"reassigningError,throwErrorObject",server,10
callback,"reassigningError,throwErrorObject,break",client,4
callback,"reassigningError,throwErrorObject,break",server,1
callback,"reassigningError,throwErrorObject,continue",client,2
callback,"reassigningError,throwErrorObject,continue,break",client,17
callback,"reassigningError,throwErrorObject,rethrow",client,11
callback,"reassigningError,throwErrorObject,rethrow",server,1
callback,"reassigningError,throwErrorObject,rethrow,break",client,5
callback,"reassigningError,throwErrorObject,rethrow,break",server,1
callback,"reassigningError,throwErrorObject,rethrow,returnErrorObject",client,1
callback,"reassigningError,throwErrorObject,rethrow,returnLiteral",client,1
callback,"reassigningError,throwErrorObject,rethrow,returnLiteral,break",client,3
callback,"reassigningError,throwErrorObject,rethrow,returnNull",client,3
callback,"reassigningError,throwErrorObject,rethrow,returnNull,break",client,7
callback,"reassigningError,throwErrorObject,rethrow,returnNull,break",server,1
callback,"reassigningError,throwErrorObject,rethrow,returnNull,continue,break",client,1
callback,"reassigningError,throwErrorObject,returnErrorObject",client,1
callback,"reassigningError,throwErrorObject,returnLiteral",client,3
callback,"reassigningError,throwErrorObject,returnLiteral",server,1
callback,"reassigningError,throwErrorObject,returnLiteral,break",client,1
callback,"reassigningError,throwErrorObject,returnLiteral,break",server,2
callback,"reassigningError,throwErrorObject,returnLiteral,continue,break",client,2
callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,break",client,2
callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,break",server,2
callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",client,2
callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined",client,1
callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",client,1
callback,"reassigningError,throwErrorObject,returnNull,break",client,6
callback,"reassigningError,throwLiteral",server,1
callback,"reassigningError,throwLiteral,break",client,1
callback,"reassigningError,throwLiteral,continue,break",server,2
callback,"reassigningError,throwLiteral,returnLiteral,break",client,1
callback,"reassigningError,throwLiteral,throwErrorObject,rethrow,returnLiteral,returnNull,continue,break",client,1
callback,"reassigningError,throwLiteral,throwErrorObject,returnNull,continue,break",client,1
callback,rethrow,client,205
callback,rethrow,server,843
callback,"rethrow,break",client,1
callback,"rethrow,break",server,2
callback,"rethrow,returnLiteral",client,3
callback,"rethrow,returnLiteral",server,13
callback,returnErrorObject,client,7
callback,returnErrorObject,server,54
callback,returnLiteral,client,448
callback,returnLiteral,server,255
callback,"returnLiteral,break",client,36
callback,"returnLiteral,break",server,4
callback,"returnLiteral,continue",client,5
callback,"returnLiteral,continue,break",client,3
callback,"returnLiteral,returnErrorObject",server,2
callback,"returnLiteral,returnNull",client,13
callback,"returnLiteral,returnNull",server,1
callback,"returnLiteral,returnNull,break",client,6
callback,"returnLiteral,returnNull,continue,break",client,2
callback,"returnLiteral,returnUndefined",client,2
callback,"returnLiteral,returnUndefined,continue",client,2
callback,returnNull,client,86
callback,returnNull,server,28
callback,"returnNull,break",client,13
callback,"returnNull,break",server,2
callback,"returnNull,continue",server,1
callback,returnUndefined,client,9
callback,returnUndefined,server,6
callback,throwErrorObject,client,277
callback,throwErrorObject,server,71
callback,"throwErrorObject,break",client,21
callback,"throwErrorObject,break",server,13
callback,"throwErrorObject,continue",client,3
callback,"throwErrorObject,continue,break",client,2
callback,"throwErrorObject,rethrow",client,101
callback,"throwErrorObject,rethrow",server,43
callback,"throwErrorObject,rethrow,break",client,2
callback,"throwErrorObject,rethrow,continue",client,2
callback,"throwErrorObject,rethrow,returnLiteral,continue,break",client,6
callback,"throwErrorObject,returnLiteral",client,13
callback,"throwErrorObject,returnLiteral",server,4
callback,"throwErrorObject,returnLiteral,break",server,1
callback,"throwErrorObject,returnLiteral,returnNull",client,2
callback,"throwErrorObject,returnLiteral,returnUndefined",client,1
callback,"throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",client,1
callback,"throwErrorObject,returnNull",client,2
callback,"throwErrorObject,returnNull,break",client,1
callback,"throwErrorObject,returnUndefined",client,1
callback,throwLiteral,client,5
callback,throwLiteral,server,4
callback,"throwLiteral,returnNull,break",server,1
callback,"throwLiteral,throwErrorObject",server,1
event,break,client,1
event,break,server,3
event,consoleLog,client,11
event,consoleLog,server,42
event,"consoleLog,alert",client,1
event,"consoleLog,rethrow",client,4
event,"consoleLog,rethrow",server,6
event,"consoleLog,throwErrorObject",server,1
event,noUsageOfErrorArg,client,60
event,noUsageOfErrorArg,server,189
event,"noUsageOfErrorArg,alert",server,1
event,"noUsageOfErrorArg,consoleLog",server,5
event,"noUsageOfErrorArg,throwErrorObject",server,4
event,others,client,141
event,others,server,690
event,rethrow,client,15
event,rethrow,server,49
event,returnLiteral,server,1
event,"throwErrorObject,rethrow",client,1
event,"throwErrorObject,rethrow",server,5
promise,alert,client,5
promise,consoleLog,client,34
promise,consoleLog,server,29
promise,"consoleLog,rethrow",client,1
promise,"consoleLog,rethrow",server,1
promise,"consoleLog,throwErrorObject",client,1
promise,noUsageOfErrorArg,client,274
promise,noUsageOfErrorArg,server,104
promise,"noUsageOfErrorArg,consoleLog",client,5
promise,"noUsageOfErrorArg,consoleLog",server,2
promise,"noUsageOfErrorArg,reassigningError",client,1
promise,"noUsageOfErrorArg,reassigningError",server,1
promise,"noUsageOfErrorArg,returnLiteral",client,6
promise,"noUsageOfErrorArg,returnLiteral",server,9
promise,"noUsageOfErrorArg,returnNull",client,1
promise,"noUsageOfErrorArg,returnNull",server,4
promise,"noUsageOfErrorArg,throwErrorObject",client,2
promise,"noUsageOfErrorArg,throwLiteral",client,2
promise,"noUsageOfErrorArg,throwLiteral",server,1
promise,others,client,588
promise,others,server,710
promise,reassigningError,client,4
promise,reassigningError,server,15
promise,"reassigningError,rethrow",server,1
promise,rethrow,client,70
promise,rethrow,server,78
promise,"rethrow,returnLiteral",client,2
promise,"rethrow,returnLiteral",server,1
promise,"rethrow,returnNull",client,1
promise,"rethrow,returnNull",server,1
promise,returnErrorObject,server,1
promise,returnLiteral,client,6
promise,returnLiteral,server,1
promise,returnNull,client,1
promise,returnNull,server,2
promise,throwErrorObject,client,2
promise,throwErrorObject,server,2
promise,"throwErrorObject,rethrow",client,1
promise,"throwErrorObject,rethrow",server,1
try-catch,alert,client,7
try-catch,break,client,1
try-catch,break,server,2
try-catch,consoleLog,client,164
try-catch,consoleLog,server,121
try-catch,"consoleLog,break",server,1
try-catch,"consoleLog,reassigningError",client,2
try-catch,"consoleLog,reassigningError",server,20
try-catch,"consoleLog,rethrow",client,2
try-catch,"consoleLog,rethrow",server,10
try-catch,"consoleLog,returnLiteral",client,3
try-catch,"consoleLog,returnLiteral",server,1
try-catch,"consoleLog,returnNull",client,2
try-catch,"consoleLog,throwErrorObject,rethrow",client,3
try-catch,"consoleLog,throwErrorObject,rethrow",server,2
try-catch,continue,client,10
try-catch,continue,server,12
try-catch,empty,client,3238
try-catch,empty,server,5183
try-catch,noUsageOfErrorArg,client,3090
try-catch,noUsageOfErrorArg,server,2719
try-catch,"noUsageOfErrorArg,alert",client,3
try-catch,"noUsageOfErrorArg,break",client,50
try-catch,"noUsageOfErrorArg,break",server,5
try-catch,"noUsageOfErrorArg,consoleLog",client,14
try-catch,"noUsageOfErrorArg,consoleLog",server,42
try-catch,"noUsageOfErrorArg,consoleLog,returnLiteral",client,1
try-catch,"noUsageOfErrorArg,consoleLog,throwLiteral",server,4
try-catch,"noUsageOfErrorArg,continue",client,10
try-catch,"noUsageOfErrorArg,continue",server,13
try-catch,"noUsageOfErrorArg,reassigningError",client,100
try-catch,"noUsageOfErrorArg,reassigningError",server,38
try-catch,"noUsageOfErrorArg,reassigningError,break",server,13
try-catch,"noUsageOfErrorArg,returnErrorObject",server,2
try-catch,"noUsageOfErrorArg,returnLiteral",client,752
try-catch,"noUsageOfErrorArg,returnLiteral",server,2020
try-catch,"noUsageOfErrorArg,returnNull",client,137
try-catch,"noUsageOfErrorArg,returnNull",server,378
try-catch,"noUsageOfErrorArg,returnUndefined",client,26
try-catch,"noUsageOfErrorArg,returnUndefined",server,5
try-catch,"noUsageOfErrorArg,throwErrorObject",client,77
try-catch,"noUsageOfErrorArg,throwErrorObject",server,27
try-catch,"noUsageOfErrorArg,throwLiteral",client,4
try-catch,"noUsageOfErrorArg,throwLiteral",server,14
try-catch,others,client,5102
try-catch,others,server,6779
try-catch,reassigningError,client,580
try-catch,reassigningError,server,3047
try-catch,"reassigningError,break",server,24
try-catch,"reassigningError,continue",server,2
try-catch,"reassigningError,continue,break",server,4
try-catch,"reassigningError,rethrow",client,17
try-catch,"reassigningError,rethrow",server,98
try-catch,"reassigningError,rethrow,returnLiteral",server,1
try-catch,"reassigningError,returnLiteral",client,22
try-catch,rethrow,client,1590
try-catch,rethrow,server,1386
try-catch,"rethrow,break",client,18
try-catch,"rethrow,break",server,22
try-catch,"rethrow,continue",client,4
try-catch,"rethrow,continue",server,1
try-catch,"rethrow,continue,break",server,1
try-catch,"rethrow,returnLiteral",client,27
try-catch,"rethrow,returnLiteral",server,16
try-catch,"rethrow,returnNull",client,11
try-catch,"rethrow,returnNull",server,15
try-catch,"rethrow,returnUndefined",server,1
try-catch,returnErrorObject,server,2
try-catch,returnLiteral,client,110
try-catch,returnLiteral,server,59
try-catch,returnNull,client,29
try-catch,returnNull,server,38
try-catch,returnUndefined,client,6
try-catch,returnUndefined,server,11
try-catch,throwErrorObject,client,6
try-catch,throwErrorObject,server,2
try-catch,"throwErrorObject,rethrow",client,71
try-catch,"throwErrorObject,rethrow",server,91
try-catch,throwLiteral,server,7
