,mech,strategy,err,hypothesis_test,p_value,statistic
91,callback,"throwErrorObject,break",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
92,callback,"consoleLog,reassigningError,throwErrorObject",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
93,callback,"reassigningError,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
94,callback,"returnLiteral,continue",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
95,callback,"returnNull,break",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
96,callback,"noUsageOfErrorArg,alert,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
97,callback,"noUsageOfErrorArg,reassigningError,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
98,callback,"noUsageOfErrorArg,reassigningError,throwErrorObject,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
99,callback,"returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
100,callback,"consoleLog,throwErrorObject",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
101,callback,"reassigningError,continue",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
102,callback,"reassigningError,returnLiteral,break",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
103,callback,"reassigningError,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
104,callback,"reassigningError,throwErrorObject,continue",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
105,callback,"reassigningError,throwErrorObject,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
106,callback,"reassigningError,throwErrorObject,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
107,callback,"reassigningError,throwErrorObject,returnLiteral,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
108,callback,"consoleLog,reassigningError,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
109,callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
110,callback,"consoleLog,returnLiteral,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
111,callback,"consoleLog,throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
112,callback,"noUsageOfErrorArg,throwErrorObject,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
113,callback,"reassigningError,continue,break",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
114,callback,"reassigningError,returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
115,callback,"reassigningError,returnLiteral,returnNull,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
116,callback,"reassigningError,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
117,callback,"reassigningError,throwErrorObject,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
118,callback,"reassigningError,throwErrorObject,rethrow,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
119,callback,"reassigningError,throwErrorObject,rethrow,returnErrorObject",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
120,callback,"reassigningError,throwErrorObject,rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
121,callback,"reassigningError,throwErrorObject,rethrow,returnLiteral,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
122,callback,"reassigningError,throwErrorObject,rethrow,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
123,callback,"reassigningError,throwErrorObject,returnErrorObject",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
124,callback,"reassigningError,throwErrorObject,returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
125,callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
126,callback,"reassigningError,throwErrorObject,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
127,callback,"reassigningError,throwLiteral,returnLiteral,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
128,callback,"reassigningError,throwLiteral,throwErrorObject,rethrow,returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
129,callback,"rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
130,callback,"throwErrorObject,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
131,callback,"throwErrorObject,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
132,callback,"throwErrorObject,rethrow,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
133,callback,"throwErrorObject,rethrow,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
134,callback,"throwErrorObject,rethrow,returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
135,callback,"throwErrorObject,returnLiteral",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
136,callback,"throwErrorObject,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
137,callback,"returnLiteral,returnErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
138,callback,"returnNull,continue",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
139,callback,"reassigningError,throwErrorObject,rethrow,returnNull,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
140,callback,"consoleLog,throwErrorObject,rethrow,continue",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
141,callback,"consoleLog,throwErrorObject,rethrow,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
142,callback,"consoleLog,throwLiteral,throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
143,callback,"throwErrorObject,returnLiteral,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
144,callback,"noUsageOfErrorArg,consoleLog,throwErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
145,callback,"noUsageOfErrorArg,throwLiteral",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
146,callback,"reassigningError,throwLiteral",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
147,callback,returnUndefined,skewtest is not valid with less than 8 samples; 3 samples were given.,,,
148,callback,"consoleLog,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
149,callback,"noUsageOfErrorArg,returnLiteral,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
150,callback,"noUsageOfErrorArg,returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
151,callback,"noUsageOfErrorArg,returnLiteral,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
152,callback,"noUsageOfErrorArg,returnLiteral,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
153,callback,"noUsageOfErrorArg,returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
154,callback,"noUsageOfErrorArg,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
155,callback,"noUsageOfErrorArg,returnNull,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
156,callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
157,callback,"noUsageOfErrorArg,throwErrorObject,returnLiteral,returnUndefined,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
158,callback,"reassigningError,returnLiteral,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
159,callback,"reassigningError,returnLiteral,returnUndefined,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
160,callback,"reassigningError,returnLiteral,returnUndefined,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
161,callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
162,callback,"reassigningError,throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
163,callback,"reassigningError,throwLiteral,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
164,callback,"returnLiteral,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
165,callback,"returnLiteral,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
166,callback,"returnLiteral,returnUndefined,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
167,callback,"throwErrorObject,returnLiteral,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
168,callback,"throwErrorObject,returnLiteral,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
169,callback,"throwErrorObject,returnLiteral,returnUndefined,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
170,callback,"throwErrorObject,returnNull,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
171,callback,"throwErrorObject,returnUndefined",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
172,callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
173,callback,"consoleLog,reassigningError,throwLiteral,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
174,callback,"reassigningError,returnLiteral,returnNull",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
175,callback,"reassigningError,throwLiteral,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
176,callback,"throwLiteral,throwErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
177,callback,"reassigningError,alert",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
178,callback,"reassigningError,throwErrorObject,rethrow,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
179,callback,"reassigningError,returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
180,callback,"returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
181,callback,"consoleLog,returnLiteral,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
182,callback,"reassigningError,returnLiteral,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
183,event,others,Inconclusive under 5% confidence,ttest_ind,0.08726579747074162,-1.3702767367515556
184,event,consoleLog,Inconclusive under 5% confidence,ttest_ind,0.12990209232611646,-1.1615474029109545
185,event,noUsageOfErrorArg,Inconclusive under 5% confidence,ttest_ind,0.2511853051607347,-0.677050178201967
186,event,rethrow,skewtest is not valid with less than 8 samples; 5 samples were given.,,,
187,event,break,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
188,event,"consoleLog,rethrow",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
189,event,"noUsageOfErrorArg,consoleLog",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
190,event,"throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
191,event,"consoleLog,throwErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
192,event,returnLiteral,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
193,event,"noUsageOfErrorArg,throwErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
194,event,"noUsageOfErrorArg,alert",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
195,event,"consoleLog,alert",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
196,promise,others,Inconclusive under 5% confidence,ttest_ind,0.39392237208414005,0.27012032215485793
197,promise,noUsageOfErrorArg,Inconclusive under 5% confidence,ttest_ind,0.05248355746886075,1.66088394712299
198,promise,"noUsageOfErrorArg,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
199,promise,reassigningError,skewtest is not valid with less than 8 samples; 2 samples were given.,,,
200,promise,"reassigningError,rethrow",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
201,promise,rethrow,Inconclusive under 5% confidence,ttest_ind,0.2487571585392353,0.6903816711977623
202,promise,consoleLog,Inconclusive under 5% confidence,ttest_ind,0.37300089220426813,0.32833041651193295
203,promise,alert,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
204,promise,"noUsageOfErrorArg,consoleLog",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
205,promise,"noUsageOfErrorArg,reassigningError",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
206,promise,"noUsageOfErrorArg,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
207,promise,"noUsageOfErrorArg,throwLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
208,promise,"consoleLog,throwErrorObject",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
209,promise,throwErrorObject,skewtest is not valid with less than 8 samples; 2 samples were given.,,,
210,promise,"consoleLog,rethrow",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
211,promise,"rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
212,promise,returnLiteral,skewtest is not valid with less than 8 samples; 3 samples were given.,,,
213,promise,"noUsageOfErrorArg,throwErrorObject",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
214,promise,returnNull,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
215,promise,"rethrow,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
216,promise,returnErrorObject,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
217,promise,"throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
218,async-await,others,skewtest is not valid with less than 8 samples; 2 samples were given.,,,
219,async-await,rethrow,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
220,async-await,reassigningError,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
221,async-await,"rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
222,async-await,"rethrow,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
223,async-await,empty,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
224,async-await,"consoleLog,rethrow",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
225,async-await,noUsageOfErrorArg,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
226,async-await,"noUsageOfErrorArg,throwErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
227,async-await,returnLiteral,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
